date,problem,team1,score1,team2,score2,both_classified
2026-09-01,no score,Van Buren,,Twin Rivers,,False
2026-09-03,no score,Helias Catholic,,Grain Valley,,True
2026-09-03,no score,Chaffee,,Van Buren,,False
2026-09-04,no score,Lincoln College Prep,,Notre Dame de Sion,,True
2026-09-04,no score,Parkway South,,Parkway North with Principia,,True
2026-09-04,no score,Climax Springs,,Tuscumbia,,True
2026-09-07,no score,Climax Springs,,Stoutland,,True
2026-09-08,no score,Stewartsville with Osborn,,DeKalb,,True
2026-09-08,no score,Winnetonka,,Lincoln College Prep,,True
2026-09-09,no score,Harrisonville,,Belton,,True
2026-09-09,no score,Smith-Cotton,,Fort Osage,,True
2026-09-09,no score,Russellville,,Jamestown,,True
2026-09-09,no score,Pleasant Hill,,Truman,,True
2026-09-10,no score,"Mercer with Cainsville, Ridgeway",,"Braymer with Breckenridge, Southwest (Livingston County)",,True
2026-09-10,no score,Marceline,,Maysville,,True
2026-09-10,no score,Macon,,Moberly,,True
2026-09-10,no score,Palmyra,,Monroe City,,True
2026-09-10,no score,Van Buren,,Poplar Bluff,,False
2026-09-10,no score,Boonville,,Salisbury,,True
2026-09-10,no score,New Bloomfield,,Sturgeon,,True
2026-09-10,no score,Notre Dame de Sion,,Summit Christian Academy,,True
2026-09-11,no score,Parkview,,Climax Springs,,True
2026-09-11,no score,St. Joseph's Academy,,St. Pius X (Festus),,True
2026-09-14,no score,Cainsville,,Albany,,False
2026-09-14,no score,Bishop LeBlond,,Excelsior Springs,,True
2026-09-14,no score,Penney,,Trenton,,True
2026-09-15,no score,Stewartsville with Osborn,,East Buchanan,,True
2026-09-15,no score,Cainsville,,Grundy County with Newtown-Harris,,False
2026-09-15,no score,Perryville,,Herculaneum with Crystal City,,True
2026-09-15,no score,Warrenton,,Lutheran St. Charles with Veritas Christian Academy,,True
2026-09-15,no score,Normandy Collaborative,,McCluer North,,False
2026-09-15,no score,Stanberry,,North Andrew,,True
2026-09-15,no score,Clark County,,Palmyra,,True
2026-09-15,no score,King City with Union Star,,"Pattonsburg with North Daviess, Winston",,True
2026-09-15,no score,Blue Springs South,,Raymore-Peculiar,,True
2026-09-15,no score,Albany,,Worth County,,True
2026-09-16,no score,Crocker,,Eldon,,True
2026-09-16,no score,Hillsboro,,Seckman,,True
2026-09-17,no score,"Mercer with Cainsville, Ridgeway",,Cainsville,,False
2026-09-17,no score,Van Buren,,DeSoto,,False
2026-09-17,no score,Lee's Summit North,,Park Hill South,,True
2026-09-17,no score,Maysville,,Putnam County,,True
2026-09-17,no score,Wellsville-Middletown,,St. Louis Patriots Sr.,,False
2026-09-17,no score,King City with Union Star,,Stanberry,,True
2026-09-18,no score,Iberia,,Camdenton,,True
2026-09-18,no score,Cor Jesu Academy,,Festus,,True
2026-09-18,no score,Normandy Collaborative,,McCluer North,,False
2026-09-18,no score,Van Buren,,Norwood,,False
2026-09-18,no score,Poplar Bluff,,"Roff(Roff, OK)",,False
2026-09-18,no score,New Bloomfield,,St. Elizabeth,,True
2026-09-18,no score,Poplar Bluff,,"Washington(Washington, OK)",,False
2026-09-18,no score,Cor Jesu Academy,,Windsor (Imperial),,True
2026-09-19,no score,Poplar Bluff,,"Bixby(Bixby, OK)",,False
2026-09-19,no score,Poplar Bluff,,"Silo(Silo, OK)",,False
2026-09-20,no score,Poplar Bluff,,"Bixby(Bixby, OK)",,False
2026-09-20,no score,Poplar Bluff,,"Silo(Silo, OK)",,False
2026-09-21,no score,"Braymer with Breckenridge, Southwest (Livingston County)",,Cainsville,,False
2026-09-21,no score,Walnut Grove,,Fair Play,,True
2026-09-21,no score,Herculaneum with Crystal City,,Hancock,,True
2026-09-21,no score,Albany,,"Mercer with Cainsville, Ridgeway",,True
2026-09-21,no score,Marshall,,Mexico,,True
2026-09-21,no score,Van Buren,,Naylor,,False
2026-09-21,no score,Kirkwood,,Northwest (Cedar Hill),,True
2026-09-21,no score,Hazelwood West,,St. Charles West with St. Charles,,True
2026-09-21,no score,Normandy Collaborative,,University City,,False
2026-09-21,no score,Windsor (Imperial),,Westminster Christian Academy,,True
2026-09-22,no score,Novinger,,Bucklin with Macon County,,True
2026-09-22,no score,Knox County,,Clark County,,True
2026-09-22,no score,Polo,,Gilman City with Tri-County,,True
2026-09-22,no score,Windsor (Imperial),,Herculaneum with Crystal City,,True
2026-09-22,no score,Parkway North with Principia,,Kirkwood,,True
2026-09-22,no score,Grundy County with Newtown-Harris,,"Mercer with Cainsville, Ridgeway",,True
2026-09-22,no score,Marceline,,Milan,,True
2026-09-22,no score,Summit Christian Academy,,Montrose with Appleton City,,True
2026-09-22,no score,"Braymer with Breckenridge, Southwest (Livingston County)",,Norborne with Hardin-Central,,True
2026-09-22,no score,Clayton,,Normandy Collaborative,,False
2026-09-22,no score,Affton,,Ritenour,,True
2026-09-22,no score,East Carter,,Van Buren,,False
2026-09-22,no score,Central (Springfield),,Weaubleau,,False
