date,team1,score1,team2,score2,forfeit,overtime
2026-08-27,Northeast Nodaway,0,Albany,11,False,False
2026-08-27,Glendale,3,Branson,13,False,False
2026-08-27,Benton,8,Central (St. Joseph),9,False,False
2026-08-27,La Plata,0,Clark County,28,False,False
2026-08-27,Timberland,13,Cor Jesu Academy,5,False,False
2026-08-27,Russellville,17,Dixon,2,False,False
2026-08-27,Kelly,8,East Carter,0,False,False
2026-08-27,New Bloomfield,2,Eldon,3,False,False
2026-08-27,Farmington,3,Fox,4,False,False
2026-08-27,Washington,11,Francis Howell Central,9,False,False
2026-08-27,Eureka,2,Francis Howell North,4,False,False
2026-08-27,St. Joseph's Academy,16,Ft. Zumwalt North,5,False,False
2026-08-27,Marshfield,13,Halfway,3,False,False
2026-08-27,Van-Far,2,Hallsville with Christian Fellowship Sr.,10,False,False
2026-08-27,University City,7,Hancock,17,False,False
2026-08-27,Oakville,5,Hillsboro,1,False,False
2026-08-27,Cameron,13,Jefferson (Conception) with South Nodaway,3,False,False
2026-08-27,Slater with Malta Bend,15,Knob Noster,7,False,False
2026-08-27,Savannah,13,Lathrop,8,False,False
2026-08-27,King City with Union Star,13,Lawson,7,False,False
2026-08-27,Hazelwood West,14,Lutheran South,15,False,False
2026-08-27,Ft. Zumwalt South,17,Lutheran St. Charles with Veritas Christian Academy,1,False,False
2026-08-27,North Shelby,0,Macon,1,False,False
2026-08-27,Lafayette County,6,Maysville,7,False,False
2026-08-27,Marceline,8,Monroe City,1,False,False
2026-08-27,Maryville,0,North Andrew,18,False,False
2026-08-27,Harrisburg,6,North Callaway,1,False,False
2026-08-27,DeSoto,1,Northwest (Cedar Hill),11,False,False
2026-08-27,Eugene,12,Osage,2,False,False
2026-08-27,Helias Catholic,12,Ozark,2,False,False
2026-08-27,Highland,12,Paris,7,False,False
2026-08-27,Ft. Zumwalt East,5,Parkway Central,15,False,False
2026-08-27,North Point,22,Parkway North with Principia,1,False,False
2026-08-27,Westminster Christian Academy,8,Parkway South,10,False,False
2026-08-27,Novinger,0,Princeton,15,False,False
2026-08-27,Notre Dame de Sion,13,Raytown South,3,False,False
2026-08-27,Cuba,3,Rolla,25,False,False
2026-08-27,Boonville,1,Smith-Cotton,0,False,False
2026-08-27,Crocker,5,South Callaway,6,False,False
2026-08-27,Northeast (Cairo),2,Southern Boone,11,False,False
2026-08-27,St. Dominic,8,St. Francis Borgia,5,False,False
2026-08-27,Lone Jack,9,St. Pius X (Kansas City),4,False,False
2026-08-27,Weaubleau,0,Stoutland,11,False,False
2026-08-27,Jamestown,7,Sturgeon,12,False,False
2026-08-27,Parkway West,18,Union,2,False,False
2026-08-27,St. James,0,Vienna,10,False,False
2026-08-27,Trenton,1,Worth County,2,False,False
2026-08-28,Hillcrest,0,Aurora,15,False,False
2026-08-28,Seneca,8,Aurora,5,False,False
2026-08-28,Lee's Summit,0,Belton,19,False,False
2026-08-28,Kearney,2,Belton,1,False,False
2026-08-28,Washington,10,Blair Oaks,1,False,False
2026-08-28,Webb City,13,Bolivar,4,False,False
2026-08-28,Summit Christian Academy,5,Bolivar,7,False,False
2026-08-28,Francis Howell Central,14,Bowling Green,11,False,False
2026-08-28,St. Joseph's Academy,8,Bowling Green,1,False,False
2026-08-28,Iberia,2,California,8,False,False
2026-08-28,Waynesville,7,Camdenton,8,False,False
2026-08-28,Joplin,6,Carl Junction,0,False,False
2026-08-28,Seneca,1,Carl Junction,9,False,False
2026-08-28,Branson,1,Carthage,13,False,False
2026-08-28,Willard,15,Carthage,4,False,False
2026-08-28,Marshfield,10,Cassville,2,False,False
2026-08-28,Lee's Summit,5,Central (St. Joseph),3,False,False
2026-08-28,William Chrisman,0,Central (St. Joseph),16,False,False
2026-08-28,Truman,1,Centralia,9,False,False
2026-08-28,Odessa,0,Centralia,13,False,False
2026-08-28,Fatima,2,Chaffee,7,False,False
2026-08-28,Platte County,4,Chillicothe,2,False,False
2026-08-28,Harrisonville,0,Chillicothe,17,False,False
2026-08-28,Humansville,16,Climax Springs,15,False,False
2026-08-28,Westminster Christian Academy,4,Cor Jesu Academy,3,False,False
2026-08-28,Vienna,17,Crocker,4,False,False
2026-08-28,Republic,2,Dadeville with Everton,3,False,False
2026-08-28,Farmington,10,DeSoto,0,False,False
2026-08-28,St. Francis Borgia,5,Elsberry,18,False,False
2026-08-28,Jefferson City,7,Elsberry,11,False,False
2026-08-28,Pacific,1,Fatima,14,False,False
2026-08-28,Union,4,Festus,14,False,False
2026-08-28,St. Elizabeth,1,Festus,8,False,False
2026-08-28,Silex,13,Fox,1,False,False
2026-08-28,Francis Howell,12,Fox,0,False,False
2026-08-28,Jackson,2,Francis Howell,6,False,False
2026-08-28,St. Joseph's Academy,3,Francis Howell Central,7,False,False
2026-08-28,North Point,1,Francis Howell North,4,False,False
2026-08-28,Macon,4,Francis Howell North,9,False,False
2026-08-28,Lafayette (Wildwood),5,Ft. Zumwalt North,0,False,False
2026-08-28,Parkway Central,15,Ft. Zumwalt North,4,False,False
2026-08-28,Rockwood Summit,0,Ft. Zumwalt West,12,False,False
2026-08-28,Kelly,0,Ft. Zumwalt West,10,False,False
2026-08-28,Cassville,6,Glendale,5,False,False
2026-08-28,Wheatland,2,Glendale,5,False,False
2026-08-28,South Harrison,3,Grain Valley,12,False,False
2026-08-28,St. Michael the Archangel,16,Grandview,1,False,False
2026-08-28,Walnut Grove,3,Halfway,13,False,False
2026-08-28,Platte County,19,Harrisonville,0,False,False
2026-08-28,Republic,8,Hartville,0,False,False
2026-08-28,Sherwood,3,Hermitage,7,False,False
2026-08-28,Highland,7,Hickman,8,False,False
2026-08-28,Troy Buchanan,4,Hickman,3,False,False
2026-08-28,Troy Buchanan,10,Highland,0,False,False
2026-08-28,Westminster Christian Academy,9,Hillsboro,0,False,False
2026-08-28,Timberland,1,Hillsboro,15,False,False
2026-08-28,Oak Park,5,Holden,6,False,False
2026-08-28,Mid-Buchanan,6,Holden,3,False,False
2026-08-28,Smithville,17,Holden,2,False,False
2026-08-28,St. Dominic,11,Holt,3,False,False
2026-08-28,Winfield,16,Holt,0,False,False
2026-08-28,Silex,1,Jackson,2,False,False
2026-08-28,Warrenton,1,Jefferson City,0,False,False
2026-08-28,Hillcrest,0,Joplin,16,False,False
2026-08-28,West Platte,1,Kelly,2,False,False
2026-08-28,Parkway Central,13,Lafayette (Wildwood),9,False,False
2026-08-28,Kearney,3,Lee's Summit,4,False,False
2026-08-28,William Chrisman,1,Lee's Summit,17,False,False
2026-08-28,Smithville,3,Lee's Summit North,9,False,False
2026-08-28,Smith-Cotton,0,Lee's Summit North,9,False,False
2026-08-28,Fort Osage,1,Liberty,2,False,False
2026-08-28,Pleasant Hill,9,Liberty,3,False,False
2026-08-28,Pacific,4,Liberty,9,False,False
2026-08-28,Notre Dame (Cape Girardeau),3,Lindbergh,4,False,False
2026-08-28,Neelyville,0,Lindbergh,10,False,False
2026-08-28,Liberty (Wentzville),3,Linn,6,False,False
2026-08-28,Grundy County with Newtown-Harris,9,Linn County,13,False,False
2026-08-28,Sullivan,7,Logan-Rogersville,5,False,False
2026-08-28,Blair Oaks,9,Logan-Rogersville,8,False,False
2026-08-28,Linn,5,Logan-Rogersville,6,False,False
2026-08-28,North Point,6,Macon,3,False,False
2026-08-28,Novinger,1,Madison,2,False,False
2026-08-28,Clopton,16,Marion County,4,False,False
2026-08-28,Notre Dame (Cape Girardeau),2,Marquette,5,False,False
2026-08-28,Neelyville,5,Marquette,10,False,False
2026-08-28,Wheatland,1,Marshfield,9,False,False
2026-08-28,Hartville,0,McDonald County,11,False,False
2026-08-28,Dadeville with Everton,5,McDonald County,6,False,False
2026-08-28,Sullivan,6,Mexico,7,False,False
2026-08-28,Chaffee,12,Mexico,0,False,False
2026-08-28,Fair Play,4,Montrose with Appleton City,8,False,False
2026-08-28,Windsor (Imperial),4,Neosho,6,False,False
2026-08-28,Capital City,8,Neosho,9,False,False
2026-08-28,St. Michael the Archangel,19,North Kansas City,4,False,False
2026-08-28,Grandview,9,North Kansas City,3,False,False
2026-08-28,"Brunswick with Keytesville, Northwestern (Mendon)",3,Northeast (Cairo),4,False,False
2026-08-28,Parkway West,11,Northwest (Cedar Hill),6,False,False
2026-08-28,Walnut Grove,2,Norwood,14,False,False
2026-08-28,Grain Valley,3,Oak Grove,1,False,False
2026-08-28,South Harrison,3,Oak Grove,4,False,False
2026-08-28,Mid-Buchanan,16,Oak Park,3,False,False
2026-08-28,Timberland,3,Oakville,2,False,False
2026-08-28,Parkway South,5,Oakville,4,False,False
2026-08-28,Truman,10,Odessa,6,False,False
2026-08-28,Lebanon,2,Osage,12,False,False
2026-08-28,Dixon,8,Owensville,14,False,False
2026-08-28,Liberty (Wentzville),10,Pacific,4,False,False
2026-08-28,Cor Jesu Academy,11,Parkway South,3,False,False
2026-08-28,Fort Osage,2,Pleasant Hill,3,False,False
2026-08-28,West Platte,1,Rockwood Summit,8,False,False
2026-08-28,St. Elizabeth,6,Rolla,4,False,False
2026-08-28,Union,3,Rolla,10,False,False
2026-08-28,Winnetonka,15,Ruskin,0,False,False
2026-08-28,Smithville,9,Smith-Cotton,2,False,False
2026-08-28,St. Pius X (Festus),1,St. Charles West with St. Charles,7,False,False
2026-08-28,Webster Groves,2,Sullivan,6,False,False
2026-08-28,Battle,5,Summit Christian Academy,7,False,False
2026-08-28,Weaubleau,1,Tuscumbia,7,False,False
2026-08-28,East Carter,6,Twin Rivers,8,False,False
2026-08-28,Notre Dame (St. Louis),5,Ursuline Academy,9,False,False
2026-08-28,Westran,13,Van-Far,12,False,False
2026-08-28,St. Francis Borgia,5,Warrenton,4,False,False
2026-08-28,Capital City,3,Washington,4,False,False
2026-08-28,Windsor (Imperial),1,Washington,7,False,False
2026-08-28,Battle,6,Webb City,8,False,False
2026-08-28,Linn,6,Webster Groves,2,False,False
2026-08-28,Pacific,10,Webster Groves,7,False,False
2026-08-28,Community,16,Wellsville-Middletown,0,False,False
2026-08-28,Branson,8,West Plains,3,False,False
2026-08-28,Willard,20,West Plains,2,False,False
2026-08-28,Capital City,3,Windsor (Imperial),5,False,False
2026-08-28,St. Dominic,0,Winfield,7,False,False
2026-08-29,King City with Union Star,5,Albany,4,False,False
2026-08-29,North Andrew,2,Albany,8,False,False
2026-08-29,Stanberry,5,Albany,6,False,False
2026-08-29,Carl Junction,2,Aurora,3,False,False
2026-08-29,Joplin,18,Aurora,4,False,False
2026-08-29,Lee's Summit,1,Belton,5,False,False
2026-08-29,Grain Valley,10,Belton,0,False,False
2026-08-29,Centralia,5,Belton,10,False,False
2026-08-29,Windsor (Imperial),6,Blair Oaks,4,False,False
2026-08-29,Dadeville with Everton,0,Bolivar,10,False,False
2026-08-29,Wright City,4,Boonville,2,False,False
2026-08-29,New Franklin,2,Boonville,17,False,False
2026-08-29,Kirksville,11,Boonville,5,False,False
2026-08-29,Holt,0,Bowling Green,13,False,False
2026-08-29,Highland,8,Bowling Green,6,False,False
2026-08-29,Summit Christian Academy,1,Branson,14,False,False
2026-08-29,Republic,3,Branson,9,False,False
2026-08-29,Scotland County,10,Brashear,2,False,False
2026-08-29,Knox County,11,Brashear,3,False,False
2026-08-29,Lathrop,6,"Braymer with Breckenridge, Southwest (Livingston County)",0,False,False
2026-08-29,Richmond,16,"Braymer with Breckenridge, Southwest (Livingston County)",0,False,False
2026-08-29,Princeton,8,Brookfield,1,False,False
2026-08-29,Milan,1,Brookfield,16,False,False
2026-08-29,Osage,13,Camdenton,2,False,False
2026-08-29,Lebanon,22,Camdenton,2,False,False
2026-08-29,Hillcrest,0,Carl Junction,15,False,False
2026-08-29,Marshall,9,Carrollton,4,False,False
2026-08-29,Warrensburg,10,Carrollton,5,False,False
2026-08-29,California,9,Carrollton,11,False,False
